Date,Site Name,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,year,month,AQI_PM2.5,AQI_Ozone
2018-01-17T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,55,NA
2018-01-17T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,54.5,NA
2018-01-17T00:00:00Z,Frying Pan Mountain,Haywood,35.379167,-82.7925,2018,1,15,NA
2018-01-17T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,40.5,28
2018-01-17T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,47.5,NA
2018-01-17T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,38,NA
2018-01-17T00:00:00Z,Linville Falls,Avery,35.972347,-81.933072,2018,1,19,NA
2018-01-17T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,51,NA
2018-01-17T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,56,29
2018-01-17T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,48.5,NA
2018-01-17T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,66,NA
2018-01-18T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,48,NA
2018-01-18T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,30,NA
2018-01-18T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,40,NA
2018-01-18T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,45,NA
2018-01-18T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,40,31
2018-01-18T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,35,NA
2018-01-18T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,31,NA
2018-01-18T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,34,NA
2018-01-18T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,54,35
2018-01-18T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,38,NA
2018-01-18T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,50,NA
2018-01-19T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,52,NA
2018-01-19T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,54,NA
2018-01-19T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,57,NA
2018-01-19T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,49,22
2018-01-19T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,43,NA
2018-01-19T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,25,NA
2018-01-19T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,37,NA
2018-01-19T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,55,32
2018-01-19T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,34,NA
2018-01-19T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,42,NA
2018-01-20T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,51,NA
2018-01-20T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,21,NA
2018-01-20T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,63,NA
2018-01-20T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,45,NA
2018-01-20T00:00:00Z,Frying Pan Mountain,Haywood,35.379167,-82.7925,2018,1,6,NA
2018-01-20T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,43,32
2018-01-20T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,36,NA
2018-01-20T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,28,NA
2018-01-20T00:00:00Z,Linville Falls,Avery,35.972347,-81.933072,2018,1,8,NA
2018-01-20T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,38,NA
2018-01-20T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,50,35
2018-01-20T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,41,NA
2018-01-20T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,40,NA
2018-01-21T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,50,NA
2018-01-21T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,48,NA
2018-01-21T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,44,NA
2018-01-21T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,53,36
2018-01-21T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,49,NA
2018-01-21T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,22,NA
2018-01-21T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,34,NA
2018-01-21T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,51,34
2018-01-21T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,35,NA
2018-01-21T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,43,NA
2018-01-22T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,48,NA
2018-01-22T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,25,NA
2018-01-22T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,58,NA
2018-01-22T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,59,NA
2018-01-22T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,57,37
2018-01-22T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,52,NA
2018-01-22T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,40,NA
2018-01-22T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,51,NA
2018-01-22T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,59,32
2018-01-22T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,39,NA
2018-01-22T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,57,NA
2018-01-23T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,17,NA
2018-01-23T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,8,NA
